OBJECTID,Id,Lake_type,AREA,PERCENTAGE
1,49182,1,0.814352124337027,0.026374675914661
2,49184,1,2.760906943264732,0.089418353170535
3,49185,1,4.862873071952899,0.157495384924921
4,49186,1,2.243271986650698,0.072653548591792
5,49899,1,14.069206448605835,0.455663771689088
6,49900,1,3.878464626618372,0.125613041971018
7,49901,1,26.717690652950303,0.865314169510394
8,49902,1,49.233391624846846,1.594537190336470
9,49903,1,16.272157267627463,0.527011426065177
10,49904,1,8.987943036908442,0.291095310804130
11,49905,1,61.923135798919901,2.005523887649505
12,49906,1,82.133115464365204,2.660070794310977
13,49907,1,6.695250246648163,0.216841155251675
14,49908,1,0.402521597684242,0.013036592366252
15,50616,1,0.297019767807889,0.009619671739124
16,50617,1,16.637629659530511,0.538848094263281
17,50618,1,34.036538162586837,1.102351963563714
18,50619,1,53.368372868781293,1.728458115895247
19,50620,1,20.285694482107747,0.656999106013240
20,50621,1,2.830447497051555,0.091670584747319
21,50622,1,22.816739686743940,0.738972855454837
22,50623,1,168.919880270829566,5.470860779436691
23,50624,1,300.853087930529284,9.743822671982928
24,50625,1,426.889109811896105,13.825790571803106
25,50626,1,200.484874586853977,6.493166082576911
26,50627,1,5.946364854327175,0.192586770779148
27,50628,1,6.386287066819658,0.206834668507167
28,50629,1,44.087040100400188,1.427860700469507
29,50630,1,1.244481004840327,0.040305393949007
30,50631,1,1.695480804578178,0.054912064945717
31,50632,1,12.903639408566107,0.417914188899107
32,50633,1,0.244770816908171,0.007927468691232
33,51078,1,1.759728227635015,0.056992866248784
34,51334,1,3.303860755917246,0.107003167426404
35,51335,1,12.636685833973960,0.409268280325024
36,51336,1,16.889620829311944,0.547009410772097
37,51337,1,22.530850490763459,0.729713673012565
38,51338,1,17.519607177362335,0.567412974861792
39,51339,1,13.344738742703072,0.432200210432490
40,51340,1,5.302157273569219,0.171722619195960
41,51341,1,0.361296604841935,0.011701425681834
42,51342,1,194.901867517961449,6.312347493577493
43,51343,1,78.872450266796221,2.554466614887847
44,51344,1,0.949077637156217,0.030738073064186
45,51345,1,160.984447429773098,5.213853444193589
46,51346,1,9.330929728952793,0.302203727636806
47,51405,1,1.505208377481177,0.048749652581084
48,51406,1,1.388269205497626,0.044962307192496
49,51407,1,1.434719228066707,0.046466698542228
